Title,Rating,Votes,Duration,Genre
242. My Boo,6.1, (728),2h 5m,Romance
243. Pure Love,7.1, (201),1h 49m,Romance
244. Believe in Christmas,6.1, (851),1h 30m,Romance
245. Tendaberry,6.4, (265),1h 55m,Romance
246. Love Is Never on Time,8.8, (67),1h 50m,Romance
247. Ibbani Tabbida Ileyali,7.4, (868),2h 40m,Romance
248. Elevator,5.2, (185),1h 35m,Romance
249. Samana Sunrise,5.0, (247),1h 40m,Romance
250. Queens of Drama,6.3, (217),1h 54m,Romance
251. Love Li,6.3, (13K),2h 48m,Romance
252. Blue Sun Palace,6.6, (215),1h 56m,Romance
253. She Taught Love,5.3, (425),1h 42m,Romance
254. Valley of the Shadow of Death,6.6, (70),1h 24m,Romance
255. He Loves Me Not,6.8, (55),1h 37m,Romance
256. Shark Island,3.1, (129),1h 21m,Romance
257. Good Bad Things,5.7, (237),1h 36m,Romance
258. Breakup Season,6.3, (607),1h 42m,Romance
259. The Groomsmen: First Look,6.1, (411),1h 22m,Romance
260. Dilan 1983,6.4, (241),1h 56m,Romance
261. Mr. Manhattan,6.7, (473),1h 50m,Romance
262. Benaam Rishta,6.9, (12),1h 30m,Romance
263. The Holiday Exchange,5.6, (420),1h 30m,Romance
"264. LSD 2: Love, Sex Aur Dhokha 2",3.8, (2.8K),1h 59m,Romance
265. Bigayan,6.2, (46),43m,Romance
266. Miracle Mile,7.6, (37),1h 22m,Romance
267. Seven Seas Seven Hills,8.6, (95),1h 30m,Romance
268. The Silence of Marcos Tremmer,5.9, (192),1h 52m,Romance
269. Love Lies,7.0, (379),1h 54m,Romance
270. Seré breve al momento de morir,5.9, (54),1h 18m,Romance
271. The Holiday Club,6.6, (390),1h 28m,Romance
272. A Toast to Love,5.7, (148),1h 29m,Romance
273. Dandelion,5.3, (415),1h 53m,Romance
274. Mendung tanpo udan,6.4, (26),1h 41m,Romance
275. Love Me If You Dare,4.3, (483),2h 8m,Romance
276. Karma's a Bitch,4.5, (43),1h 29m,Romance
"277. It's So Big It Hurts, Black Oppa",5.6, (10),1h 1m,Romance
278. Christmas in the Spotlight,5.7, (680),1h 27m,Romance
279. Roti Kapda Romance,5.8, (2.5K),2h 33m,Romance
280. Naam,6.3, (287),2h 16m,Romance
282. Love Syndrome: The Beginning,6.1, (65),1h 30m,Romance
"283. Walter, Grace & The Submarine",9.2, (7),1h 40m,Romance
284. L'heureuse élue,5.5, (363),1h 31m,Romance
285. No Pressure,5.1, (1.1K),1h 51m,Romance
287. Amar Prem Ki Prem Kahani,4.5, (673),1h 57m,Romance
288. Meet Me in Rome,5.2, (687),1h 25m,Romance
289. Ancika,6.8, (815),1h 40m,Romance
290. Pantaskah Aku Berhijab,8.0, (78),1h 54m,Romance
291. El Hawa Sultan,6.5, (863),2h 16m,Romance
292. Aaram Aravinda Swamy,9.3, (330),2h 12m,Romance
293. Sevmek Yüzünden,3.6, (660),1h 44m,Romance
294. The Glory of Life,6.6, (455),1h 38m,Romance
295. The Groomsmen: Second Chances,6.1, (469),1h 24m,Romance
296. Marry Christmas,6.4, (66),1h 25m,Romance
297. Come Closer,7.0, (294),1h 47m,Romance
298. Beauty and the Billionaire: Bali,5.8, (230),1h 31m,Romance
299. El Roomie,5.8, (314),1h 39m,Romance
300. Un/Happy for You,5.7, (416),1h 50m,Romance
301. Sweet Summer Love,6.6, (76),1h 30m,Romance
303. Drained,4.5, (327),1h 47m,Romance
304. Bad Boy in Love,8.7, (20),1h 31m,Romance
306. Books & Drinks,5.1, (147),1h 34m,Romance
308. Black Owner and Horny College Girls,3.6, (9),1h 5m,Romance
309. Fake Boyfriend,9.0, (18),1h 55m,Romance
310. Romeo,6.1, (1.3K),2h 30m,Romance
311. Kahan Shuru Kahan Khatam,6.0, (3.2K),1h 47m,Romance
312. A Brooklyn Love Story,5.3, (114),1h 47m,Romance
313. Kill Me If You Dare,4.6, (1.4K),1h 34m,Romance
314. Pasutri Gaje,6.0, (353),1h 49m,Romance
315. Love Unlike in K-Dramas,6.5, (141),1h 58m,Romance
316. Him,7.6, (30),1h 20m,Romance
"317. Love, Wine & Salt: A Tuscan Romance",5.4, (64),1h 20m,Romance
318. The Architecture of Love,6.9, (510),1h 50m,Romance
319. The Private Eye,3.8, (162),1h 55m,Romance
320. Zenithal,5.4, (88),1h 20m,Romance
321. Pon Ondru Kanden,5.6, (286),2h,Romance
322. À toute allure,5.4, (230),1h 26m,Romance
323. Svemu dodje kraj,6.4, (367),1h 29m,Romance
324. Albany Road,7.7, (116),2h 15m,Romance
325. Chainsaws Were Singing,7.2, (386),1h 57m,Romance
326. The Heartbreak Agency,5.3, (744),1h 34m,Romance
327. Hi Anokhi Gaath,6.8, (84),2h 6m,Romance
328. Deyaler Desh,7.3, (155),2h 19m,Romance
329. Maple Leaf Dreams,4.8, (138),1h 41m,Romance
330. X & Y,8.1, (17),1h 41m,Romance
331. Azzamine,7.0, (119),1h 44m,Romance
332. Rajkumar,7.4, (2.7K),2h 25m,Romance
333. In Good Hands 2,5.3, (1K),1h 39m,Romance
334. One Night in Tokyo,7.3, (90),1h 35m,Romance
336. Love You to Debt,6.3, (773),2h 15m,Romance
337. Kupu-Kupu Kertas,6.5, (221),1h 53m,Romance
338. Umjolo: Day Ones,4.1, (164),1h 26m,Romance
339. Game On,5.2, (2.3K),2h 20m,Romance
340. Alterlove,7.8, (15),1h 30m,Romance
341. A '90s Christmas,6.0, (1.1K),1h 30m,Romance
342. Hold Me Close,4.9, (72),1h 38m,Romance
343. C4 Cinta,7.9, (156),2h 47m,Romance
344. That Kind of Love,5.8, (338),2h 16m,Romance
345. The Mediterranean Sea,7.2, (94),1h 48m,Romance
346. Murphy,7.0, (2.4K),2h 16m,Romance
347. Dil Kush,8.1, (550),2h 15m,Romance
348. A Merry Royal Christmas,5.4, (160),1h 28m,Romance
"349. Chances Are, You and I",6.0, (150),2h 12m,Romance
350. Paper Flowers,8.5, (36),1h 40m,Romance
351. A Bluegrass Christmas,6.0, (246),1h 24m,Romance
352. Liu mang qu mo shi,5.7, (54),1h 44m,Romance
353. We Are Faheem & Karun,9.1, (73),1h 21m,Romance
354. Forbidden Love,7.8, (31),1h 36m,Romance
355. Paalum Pazhavum,4.9, (185),2h 27m,Romance
356. The Proud Princess,6.4, (139),1h 24m,Romance
357. O2,6.6, (7.9K),1h 45m,Romance
358. Stranded Pearl,5.7, (28),1h 30m,Romance
359. Heartbreak Motel,7.0, (315),1h 55m,Romance
360. Switch Up,8.6, (30),1h 45m,Romance
361. What Happened in My Black Boyfriend's Room,5.4, (10),1h 2m,Romance
362. Dhruvathaare,8.0, (648),2h 45m,Romance
363. Anyone But Her,4.9, (293),1h 33m,Romance
365. Heavens x Candy,6.1, (50),1h 10m,Romance
366. Shigatsu ni nareba kanojo wa,6.2, (462),1h 48m,Romance
367. Sicilian Holiday,4.6, (23),1h 42m,Romance
368. Sihinayaki Adare,6.5, (197),2h 30m,Romance
369. In the Summer Rain,6.3, (16),2h 9m,Romance
370. Midwinter,6.5, (60),1h 35m,Romance
"371. Aku Jati, Aku Asperger",7.7, (90),1h 28m,Romance
372. A Thousand Faces,8.7, (138),1h 25m,Romance
373. Olivia & the Clouds,7.3, (59),1h 21m,Romance
374. Silent Sparks,6.1, (59),1h 18m,Romance
375. Yesterday Is Almost Here,8.1, (11),1h 32m,Romance
377. Honeko Akabane's Bodyguards,6.1, (48),1h 57m,Romance
379. Ondu Sarala Prema Kathe,7.5, (723),2h 29m,Romance
380. Perdiendo el Juicio,7.7, (21),1h 30m,Romance
382. Yuva,5.7, (849),2h 33m,Romance
383. Verliefd op Bali,5.0, (332),1h 53m,Romance
384. Royal Façade,8.4, (59),1h 35m,Romance
385. Christmas on the Ranch,6.0, (139),1h 26m,Romance
386. I Am the Secret in Your Heart,6.1, (217),1h 52m,Romance
387. My Boyfriend Is a Sex Worker,5.4, (17),50m,Romance
388. Oshana,5.7, (800),2h 29m,Romance
389. Little Hearts,5.8, (2.4K),2h 16m,Romance
390. Say a Little Prayer,8.6, (46),1h 43m,Romance
391. Moments We Shared,5.4, (129),2h 11m,Romance
392. Ahl Al Kahf,5.3, (290),2h,Romance
393. Fruitcake,5.3, (169),1h 37m,Romance
394. Last Song for You,7.0, (107),1h 46m,Romance
"396. Till Then, Hanna!",6.2, (314),1h 50m,Romance
397. The Lifeguards,3.8, (144),1h 47m,Romance
398. Saint Nick of Bethlehem,8.9, (103),1h 33m,Romance
399. Prabuthwa Junior Kalashala,7.0, (2.1K),2h 11m,Romance
400. Valentine's Town,5.2, (202),1h 24m,Romance
401. Kajolrekha,6.3, (196),2h 36m,Romance
402. Jingle Bell Love,6.1, (222),1h 21m,Romance
404. Life is Filled with So Much of You,7.2, (72),1h 39m,Romance
405. Shrek 5: The Contract - A Fan Made Film,7.4, (22),1h 24m,Romance
406. Nado snimat filmy o lyubvi,7.3, (41),1h 13m,Romance
407. Oru Kattil Oru Muri,4.6, (62),2h 5m,Romance
408. Morando com o Crush,5.4, (185),1h 30m,Romance
409. Holiday for Hire,5.8, (197),1h 24m,Romance
410. Choices,5.4, (8),1h 27m,Romance
411. Christmas at Plumhill Manor,6.1, (506),1h 27m,Romance
412. Love... Reconsidered,4.2, (140),1h 28m,Romance
413. Noche De Bodas,4.5, (244),1h 30m,Romance
414. Kisko Tha Pata,6.9, (21),2h 15m,Romance
"416. Aire, Just Breathe",4.7, (199),1h 38m,Romance
417. A Christmas Dream,4.8, (53),1h 34m,Romance
418. Love Mouli,6.5, (87),2h 26m,Romance
419. You Are Not Alone,6.0, (76),1h 45m,Romance
420. Meeting Ms. Leigh,8.8, (83),1h 57m,Romance
421. 36-24-36,6.0, (242),1h 58m,Romance
422. Christmas in Lagos,4.7, (181),2h,Romance
423. Ciao bambino,6.7, (91),1h 40m,Romance
424. Reloaded 2,7.5, (1.2K),45m,Romance
425. Greice,6.9, (134),1h 50m,Romance
426. Take Good Care,5.7, (6),1h 41m,Romance
428. Lady Outlaw,6.5, (25),1h 44m,Romance
429. Assisting Venus,6.2, (27),1h 40m,Romance
430. Soft Love,6.6, (38),1h 54m,Romance
431. Poppay Ki Wedding,8.8, (78),2h 7m,Romance
432. Powder Pup,6.1, (81),1h 29m,Romance
"433. María, Me Muero",5.1, (118),1h 33m,Romance
434. Buk Poketer Golpo,7.9, (233),1h 35m,Romance
435. A Christmas of Wonders,4.9, (130),1h 26m,Romance
436. Young Lion of the West,5.3, (110),1h 33m,Romance
437. Éden & Charlie,8.4, (13),45m,Romance
438. Dreaming of You,8.4, (52),1h 35m,Romance
439. Momma's Boy,3.8, (49),1h 45m,Romance
440. Babli,6.8, (572),2h 14m,Romance
441. Onegin,7.0, (1.2K),2h 21m,Romance
443. Under Parallel Skies,5.6, (858),1h 50m,Romance
444. Alaap,6.1, (117),2h 25m,Romance
446. Could Have Waited for August,6.2, (862),1h 52m,Romance
447. Swoon,5.9, (21),1h 23m,Romance
448. Lobola Man,4.6, (212),1h 48m,Romance
449. Premalo,7.3, (1.1K),2h 8m,Romance
450. Joy of Horses,5.5, (174),1h 30m,Romance
451. Addy Daddy,7.4, (31),1h 58m,Romance
452. Bed & Breakfast,6.1, (221),1h 23m,Romance
453. Hearts Creek,5.9, (130),1h 30m,Romance
454. Rabb Da Radio 3,7.3, (8),2h 2m,Romance
456. Every You Every Me,6.5, (151),1h 48m,Romance
457. The Choice,9.5, (8),40m,Romance
458. I Brake for Caterpillars,4.2, (30),1h 33m,Romance
459. Ma chi ti conosce,5.8, (144),1h 45m,Romance
460. ¿Vienes o Voy?,6.7, (19),1h 34m,Romance
461. Goreyan Naal Lagdi Zameen Jatt Di,7.8, (29),1h 48m,Romance
463. 14 Days Love,6.4, (12),1h 52m,Romance
464. Visal Adare,6.1, (150),2h,Romance
465. Emakku Thozhil Romance,4.8, (132),1h 51m,Romance
466. Future Date,5.5, (131),1h 22m,Romance
467. My Sassy Girl,5.1, (147),1h 57m,Romance
468. Omenavarkaat,7.0, (198),1h 24m,Romance
469. A Soweto Love Story,4.4, (286),1h 41m,Romance
470. How to Make Love,2.8, (12),1h 5m,Romance
471. Yolki 11,4.7, (180),1h 32m,Romance
472. Khwaabon Ka Jhamela,5.4, (112),1h 53m,Romance
473. The Property,7.8, (71),1h 50m,Romance
475. Mann Behka,9.7, (7),1h 17m,Romance
476. A European Christmas,4.7, (198),1h 30m,Romance
477. Daghabaaz Dil,6.6, (73),2h 3m,Romance
478. DreadClub: Vampire's Verdict,4.8, (63),1h 28m,Romance
479. Le beau rôle,6.4, (109),1h 24m,Romance
482. Khoka Bhai Tama Pain: A Song Epic,8.8, (160),2h 33m,Romance
483. Writing a Love Song,6.7, (195),1h 25m,Romance
484. Coven of the Black Cube,7.0, (25),1h 37m,Romance
485. The Christmas Brew,5.4, (155),1h 29m,Romance
486. Hrashwo Deergha,7.6, (102),2h 30m,Romance
487. Once Upon A Love Story,7.5, (84),2h 15m,Romance
488. Heart Strings,5.5, (13),1h 47m,Romance
490. Three Secrets,4.1, (52),1h 32m,Romance
491. Marriage Mansion,8.6, (25),Not Rated,Romance
492. Ienai Himitsu,6.7, (76),1h 55m,Romance
494. Shooting My Life's Script,6.2, (344),1h 35m,Romance
495. Election,5.8, (806),2h,Romance
496. The Little Things,7.8, (43),1h 30m,Romance
497. Jee Ve Sohneya Jee,6.6, (263),2h 21m,Romance
499. Kaaduvetty,3.2, (148),2h 37m,Romance
500. Double Blended,5.4, (57),1h 27m,Romance
501. Land of Broken Hearts,6.3, (213),1h 40m,Romance
502. Looking for Dr. Love,5.9, (134),1h 25m,Romance
503. Petta Rap,4.0, (1.7K),2h 3m,Romance
504. Heartsping : Teenieping of Love,7.2, (30),TV-Y,Romance
505. Sign Here,6.2, (250),1h 40m,Romance
506. On the Market,5.9, (12),1h 35m,Romance
507. Kanni,8.3, (153),2h 2m,Romance
508. I Love You 2,8.1, (175),2h 40m,Romance
509. Keshava Chandra Ramavath,6.7, (79),2h 13m,Romance
510. A Mountain Between Us,5.3, (34),1h 29m,Romance
511. Love Stuck,5.7, (162),1h 56m,Romance
512. Juni,7.3, (227),2h 18m,Romance
513. Günesi Söndürmem Gerek,3.6, (208),1h 45m,Romance
