Title,Rating,Votes,Duration,Genre
348. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.6, (38),1h 11m,Fantasy
349. Iron Nest of the Moon,7.6, (13),1h 10m,Fantasy
351. Aalan,5.5, (1.1K),2h 17m,Fantasy
352. Lilla spöket Laban spökar igen,6.2, (30),44m,Fantasy
355. Painted Skin,6.9, (54),1h 20m,Fantasy
356. Young doctor's notes,3.5, (7),1h 26m,Fantasy
360. Nebesko,5.1, (10),1h 13m,Fantasy
"366. Fallen Leaves, Broken Lighters",7.7, (8),1h 36m,Fantasy
369. Princezna na hrásku,5.5, (64),1h 20m,Fantasy
372. Gato Galactico e o Feitiço do Tempo,7.7, (71),1h 25m,Fantasy
373. Code Duello: From the Tithebanner Saga,8.9, (340),1h 1m,Fantasy
374. Sharma & Ambani,9.1, (184),1h 44m,Fantasy
375. Santa's Chimney of Secrets,4.5, (24),1h 6m,Fantasy
377. Sahmeran Efsanesi-Tulhan,6.0, (34),16+,Fantasy
379. Xin Longmen kezhan,2.9, (7),1h 13m,Fantasy
384. I Am Moon,8.0, (9),2h 7m,Fantasy
395. LUDA,7.2, (6),1h 26m,Fantasy
401. Let's Go! Anpanman: Baikinman and Lulun,6.5, (7),1h 4m,Fantasy
403. Alucina (Fishgirl),7.3, (19),1h 40m,Fantasy
413. Dracu Ra,5.6, (42),1h 46m,Fantasy
415. Horse with No Name,7.8, (15),1h 12m,Fantasy
423. The Ghost of Annie Lee,4.8, (5),1h 43m,Fantasy
424. Demon Host,6.4, (20),1h 20m,Fantasy
"425. Bryson, the Demon Slayer",4.4, (12),59m,Fantasy
428. And Through the Portal We Go,6.8, (11),1h 23m,Fantasy
429. Xiao zi,3.5, (12),1h 41m,Fantasy
430. Krapiva: Tsvetok smerti,6.1, (56),1h 21m,Fantasy
440. The Legend of the Cat Demon,4.7, (12),1h 25m,Fantasy
450. Kyle and the Last Emerald 2,8.4, (9),15m,Fantasy
451. Mortadella,8.4, (8),1h 30m,Fantasy
457. Lucid Love,8.6, (31),1h 11m,Fantasy
458. Velký Pán,6.8, (10),1h 13m,Fantasy
459. Keo=peul-ji-ok,5.6, (8),1h 34m,Fantasy
466. Bicho Monstro,8.4, (7),1h 15m,Fantasy
476. Skazochnyy patrul. Shou prodolzhayetsya,7.2, (11),1h 5m,Fantasy
477. Oda: Vlucht door de Eeuwen,6.4, (7),1h 42m,Fantasy
478. Kan dao ling hun de na zhi yan shi gong,3.2, (12),2h 4m,Fantasy
496. Cageling,5.8, (8),1h 9m,Fantasy
