Title,Rating,Votes,Duration,Genre
385. Citizen of a Kind,6.7, (905),1h 54m,Action
387. Malaikottai Vaaliban,6.0, (4.2K),2h 36m,Action
388. Pimpinero: Blood and Oil,5.6, (576),2h 1m,Action
389. Hitler,5.2, (315),2h 8m,Action
390. Agents,3.3, (950),1h 22m,Action
391. Speed 220,5.7, (1.2K),1h 54m,Action
392. The Waves of Madness,5.7, (105),1h 8m,Action
393. The Last Ronin,4.9, (594),1h 55m,Action
394. Warning 2,7.1, (900),2h 5m,Action
395. Virunnu,4.0, (951),2h 5m,Action
396. Hellhound,4.3, (526),1h 43m,Action
397. Major Grom: The Game,6.1, (1.9K),2h 48m,Action
398. Hunting with Tigers,5.6, (561),1h 49m,Action
399. The Mick and the Trick,4.8, (82),1h 36m,Action
400. The Unbreakable Bunch,7.3, (35),1h 25m,Action
401. The Lost Tiger,7.9, (53),1h 30m,Action
402. Sons of Rizk 3,6.6, (1.8K),2h 5m,Action
403. Taken from Rio Bravo,3.0, (324),1h 20m,Action
404. Onsen shâku,6.0, (39),1h 10m,Action
405. The Wolf,3.4, (39),1h 27m,Action
406. Lady Scorpions,3.6, (374),1h 41m,Action
407. (Pri)sons,5.0, (295),1h 40m,Action
408. Mani nude,6.6, (58),1h 24m,Action
409. Appudo Ippudo Eppudo,4.7, (235),2h,Action
410. Serra das Almas,5.5, (45),2h,Action
412. Gangs of Godavari,4.9, (918),2h 45m,Action
413. Blade of Fury,6.2, (139),1h 30m,Action
415. Kali,5.2, (425),1h 36m,Action
416. Drive,5.6, (360),1h 30m,Action
417. Alpha.,6.9, (273),1h 40m,Action
418. Kizumonogatari: Koyomi Vamp,7.0, (108),2h 24m,Action
419. Bull Shark 2,2.7, (210),1h 15m,Action
421. WWII: Operation Phoenix,5.7, (100),1h 46m,Action
422. Rajakili,5.1, (621),2h 2m,Action
423. Stuntman,6.9, (206),1h 54m,Action
424. The Last of Us: Immunity,4.4, (31),1h 4m,Action
425. Midas,4.6, (346),1h 25m,Action
426. El Duro,4.7, (17),1h 30m,Action
427. Kill Craft,2.5, (376),1h 39m,Action
428. Customs Frontline,5.5, (533),1h 55m,Action
429. Zenithal,5.4, (88),1h 20m,Action
430. Paradise,6.9, (82),1h 23m,Action
431. Road Wars: Max Fury,2.0, (369),1h 23m,Action
432. Babu,7.2, (188),2h 22m,Action
433. Marni: The Story of Wewe Gombel,5.8, (231),1h 59m,Action
434. Exorcism Chronicles: The Beginning,6.4, (131),1h 25m,Action
435. Inanimate Insanity II: The Movie,8.2, (248),1h 46m,Action
436. Ape X Mecha Ape: New World Order,2.9, (147),1h 27m,Action
437. Sector 17,5.4, (1.3K),2h 26m,Action
438. Lie Zhan,6.6, (83),1h 33m,Action
439. Buddy,3.8, (358),2h 17m,Action
440. Next to Us,4.8, (229),2h 5m,Action
441. The Traveller,5.2, (213),2h 14m,Action
442. Correr para Vivir,6.9, (206),1h 37m,Action
